user_id,transaction_count,transaction_amount,session_time,feature_used,churn
1,39,4424,45,UPI,1
2,29,2695,11,BillPay,0
3,15,1019,1,BillPay,1
4,43,105,24,BillPay,1
5,8,567,54,UPI,0
6,21,4270,7,UPI,0
7,39,103,25,BillPay,1
8,19,745,21,UPI,0
9,23,217,15,BillPay,0
10,11,3028,1,UPI,0
11,11,2651,12,Recharge,0
12,24,4389,58,Recharge,1
13,36,946,7,BillPay,0
14,40,2862,15,UPI,0
15,24,1241,21,UPI,0
16,3,1910,19,Recharge,0
17,22,823,29,Recharge,0
18,2,324,25,UPI,0
19,24,4727,33,UPI,0
20,44,4308,49,UPI,0
21,30,4754,32,UPI,1
22,38,2148,49,UPI,0
23,2,4849,35,UPI,0
24,21,4515,44,BillPay,0
25,33,1673,38,UPI,0
26,12,1928,26,Recharge,0
27,22,2017,11,BillPay,0
28,44,4334,35,UPI,1
29,25,2126,8,Recharge,0
30,49,3844,46,BillPay,0
31,27,1001,14,Recharge,1
32,42,4885,10,UPI,0
33,28,2139,2,UPI,0
34,16,109,46,UPI,0
35,15,360,9,UPI,0
36,47,1773,3,BillPay,1
37,44,2319,21,BillPay,1
38,3,2160,26,Recharge,1
39,37,3813,8,UPI,0
40,7,1719,48,Recharge,0
41,21,420,2,BillPay,0
42,9,1442,6,UPI,0
43,39,2476,28,UPI,0
44,18,2932,53,BillPay,1
45,4,2924,29,BillPay,0
46,25,2094,26,BillPay,0
47,14,3058,25,BillPay,0
48,9,2138,12,BillPay,0
49,26,3590,5,UPI,0
50,2,3777,34,BillPay,1
51,20,1218,48,UPI,0
52,28,1704,37,UPI,1
53,47,4127,15,BillPay,0
54,7,335,44,BillPay,1
55,44,2069,36,UPI,1
56,8,4529,15,BillPay,0
57,47,2008,43,BillPay,0
58,35,475,48,BillPay,1
59,14,3630,23,Recharge,0
60,17,2735,6,UPI,1
61,36,1670,46,Recharge,0
62,40,2660,50,BillPay,0
63,4,3491,44,Recharge,1
64,2,3065,59,BillPay,1
65,6,3743,43,Recharge,0
66,42,3950,45,BillPay,1
67,4,972,21,Recharge,0
68,29,1352,23,Recharge,0
69,18,1414,43,Recharge,0
